YEAR,STATE,SWING_LAST,PREV_WIN_DEM,POPULATION,MAIL_BALLOTS_REQUESTED,ALL_MAIL_STATE,BIRTHS,POVERTY_RATE,DOM_MIG_RATE,FERTILITY_RATE,DEATHS,DEATH_RATE,MENTAL_HEALTH,VAX_PERCENT_POP,VAX_18PLUS,VAX_65PLUS,PFIZER,MODERNA,PFIZER_LESS_MODERNA,TURNOUT,REP_VOTES,DEM_VOTES,DEM_VOTE_PERCENT,REP_VOTE_PERCENT,MARGIN_DEM
2021,AK,0,0,731544,195515,0,9822,10.2,-2.827193101,68.1,4453,603.8,36.79,56.3,67.7,84.2,264490,167095,97395,343729,189951,153778,42.77195227,52.83314327,-10.06
2021,AL,0,0,4903173,331104,0,58615,12.9,5.856037604,61.7,54352,1112,37.02,47.6,57.8,79.6,1366194,1061466,304728,2290794,1441170,849624,36.56999021,62.03164317,-25.46
2021,AR,0,0,3017801,876929,0,36564,14.1,6.338792786,63.2,32336,1072.9,39.1,51.2,61.3,78.3,901682,689591,212091,1184579,760647,423932,34.77506195,62.39572986,-27.62
2021,AZ,0,0,7278736,3448181,0,79375,9.9,12.4903435,56.7,59282,826.6,39.01,57,67.4,83.6,2694757,1731027,963730,3333829,1661686,1672143,49.36469061,49.05598103,0.31
2021,CA,0,1,39512180,22042262,0,446479,10.1,-10.54685762,55.4,268818,679.6,40.32,66.1,76.9,86.7,17174393,10063340,7111053,17116679,6006429,11110250,63.48394689,34.32072363,29.16
2021,CO,0,1,5758728,4111226,1,62869,9.3,1.606820493,53.3,38526,676.4,43.3,66.2,76.5,89.2,2386800,1496432,890368,3168959,1364607,1804352,55.4,41.9,13.5
2021,CT,0,1,3565279,715003,0,34258,8.3,7.031896973,51.1,31230,874.1,36.7,74.6,84.8,94.6,1711432,1000238,711194,1795548,714717,1080831,59.26144635,39.18759098,20.07
2021,DE,0,1,973764,1683046,0,10562,6.5,14.24619994,58.7,9433,975.3,34.24,64.2,74.7,92.8,401635,248015,153620,496871,200603,296268,58.74545184,39.77653299,18.97
2021,FL,0,0,21477694,6011508,0,220002,11.5,13.42563461,56.6,205426,964.5,39.36,63.4,73.7,88.9,8401675,5011522,3390153,10965776,5668731,5297045,47.86145073,51.21981962,-3.36
2021,GA,0,0,10617464,1781429,0,126371,12.1,4.228265175,58,85202,809.9,38.12,51.1,61.9,80.7,3493101,2215988,1277113,4935487,2461854,2473633,49.47305578,49.24,0.23
2021,HI,0,1,1415872,795248,1,16797,8.4,-5.479090908,63.9,11415,803.6,35.09,63.6,74.5,90.1,702080,379008,323072,562994,196864,366130,63.73363924,34.26886394,29.46
2021,IA,0,0,3155080,1030359,0,37649,9.5,1.723628423,63.4,30367,962.2,33.11,59,70.2,91.4,1115279,738247,377032,1656733,897672,759061,44.89171557,53.08932497,-8.2
2021,ID,0,0,1787059,402310,0,22063,7.1,27.82297551,64,14261,813,35.11,46.2,61.5,84.7,576012,344172,231840,841140,554119,287021,33.06640215,63.83756483,-30.77
2021,IL,0,1,12671858,2345954,0,140128,9.3,-8.179446262,56.1,110022,863.5,38.15,64,74.2,86.6,5426026,2915000,2511026,5918806,2446891,3471915,57.54163584,40.5534441,16.99
