YEAR,STATE,SWING_LAST,PREV_WIN_DEM,POPULATION,MAIL_BALLOTS_REQUESTED,ALL_MAIL_STATE,BIRTHS,POVERTY_RATE,DOM_MIG_RATE,FERTILITY_RATE,DEATHS,DEATH_RATE,MENTAL_HEALTH,VAX_PERCENT_POP,VAX_18PLUS,VAX_65PLUS,PFIZER,MODERNA,PFIZER_LESS_MODERNA,TURNOUT,REP_VOTES,DEM_VOTES,DEM_VOTE_PERCENT,REP_VOTE_PERCENT,MARGIN_DEM
2024,AK,,0,726305,49002,0,,10.1,7.096186144,61.6570061,5529,753.7,24.7,9.26,10.9,30.07,,,,,,,,,
2024,AL,,0,4893409,318706,0,,14.2,-4.825858639,57.85420097,59237,1167.4,22.2,4.97,6.15,16.46,,,,,,,,,
2024,AR,,0,3012504.5,21247,0,,13.8,7.814271893,59.11752658,35758,1174.1,23,7.17,8.9,23.65,,,,,,,,,
2024,AZ,,1,7380696.5,3298587,0,,11.9,7.262514278,54.13992643,69335,942.2,20.73,8.81,10.26,24.46,,,,,,,,,
2024,CA,,1,39144646,22730542,0,,11.9,-4.804488343,50.34909951,294735,755.2,20.53,14.57,16.96,38.47,,,,,,,,,
2024,CO,,1,5773714,4252159,1,,8.5,3.271196193,50.22278574,44971,770.1,21.12,13.5,17.1,26.9,,,,,,,,,
2024,CT,,1,3539890,108855,0,,8.3,1.729339062,50.11516139,32522,896.9,19.55,16.28,18.95,43.45,,,,,,,,,
2024,DC,,1,708203.5,378821,1,,12.7,12.28167416,42.96745154,4916,731.8,18.25,12.81,12.72,27.17,,,,,,,,,
2024,DE,,1,981560.5,41717,0,,7.8,8.089362266,54.2424527,10649,1045.7,20.14,15.17,18.05,42.24,,,,,,,,,
2024,FL,,0,21623533,3265422,0,,11.6,16.6251091,53.84339408,228940,1029.2,21.1,7.47,8.97,21.15,,,,,,,,,
2024,GA,,1,10647521,284227,0,,12.9,8.050631889,54.89575619,96527,884.5,22.16,6.87,8.37,22.08,,,,,,,,,
2024,HI,,1,1398884,861358,1,,8.2,-4.568387883,56.24632688,12646,878.1,17.01,13.17,15.6,34.53,,,,,,,,,
2024,IA,,0,3145074,277394,0,,8,10.27378487,58.93921208,32552,1017.1,20.51,14.39,17.27,42.89,,,,,,,,,
2024,ID,,0,1816139.5,169718,0,,9.1,-3.449518395,57.50210073,16474,849.6,20.92,9.99,12.45,31.84,,,,,,,,,
2024,IL,,1,12517504,1125896,0,,9.8,3.281323787,50.37233198,113749,904.1,19.17,14.24,16.58,37.73,,,,,,,,,
2024,IN,,0,6714728,199188,0,,8.3,1.09541625,58.7691246,69942,1023.6,22.78,9.94,12,31.68,,,,,,,,,
